mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
13.453,0.57,2.042,0.081,1.349,0.446,3.918,4.147,0.0
15.8,0.864,0.692,0.045,0.424,0.337,1.498,3.978,0.0
17.787,0.866,0.506,0.033,0.363,0.252,1.155,4.002,0.0
16.5,0.893,0.316,0.022,0.312,0.228,0.879,4.028,0.0
18.067,0.902,0.363,0.021,0.274,0.201,0.858,4.046,0.0
16.44,0.909,0.282,0.018,0.271,0.185,0.756,3.997,0.0
18.019,0.894,0.279,0.018,0.269,0.165,0.731,4.039,0.0
16.453,0.913,0.197,0.016,0.261,0.165,0.64,4.005,0.0
16.405,0.908,0.244,0.017,0.254,0.165,0.68,4.068,0.0
14.696,0.918,0.229,0.014,0.229,0.145,0.616,3.976,0.0
14.881,0.926,0.241,0.015,0.203,0.134,0.593,4.051,0.0
13.407,0.92,0.173,0.013,0.226,0.137,0.549,3.97,0.0
14.884,0.928,0.196,0.013,0.199,0.136,0.545,4.044,0.0
14.457,0.923,0.122,0.011,0.207,0.124,0.464,4.01,0.0
15.487,0.939,0.178,0.012,0.168,0.119,0.477,4.088,0.0
12.985,0.938,0.17,0.012,0.169,0.119,0.469,4.031,0.0
14.004,0.935,0.194,0.011,0.178,0.105,0.488,4.048,0.0
12.356,0.942,0.156,0.011,0.161,0.111,0.439,3.947,0.0
14.095,0.941,0.13,0.011,0.16,0.106,0.408,4.0,0.0
11.916,0.935,0.141,0.01,0.18,0.101,0.432,3.979,0.0
13.304,0.949,0.098,0.01,0.16,0.096,0.365,3.925,0.0
12.797,0.938,0.141,0.01,0.164,0.097,0.413,3.924,0.0
14.216,0.946,0.145,0.011,0.152,0.098,0.406,3.932,0.0
13.295,0.952,0.17,0.01,0.147,0.09,0.417,3.989,0.0
13.207,0.945,0.131,0.011,0.156,0.091,0.388,3.959,0.0
13.366,0.951,0.099,0.009,0.148,0.088,0.344,3.898,0.0
14.912,0.943,0.115,0.01,0.144,0.085,0.354,4.051,0.0
13.151,0.946,0.162,0.01,0.15,0.085,0.408,4.096,0.0
14.392,0.955,0.083,0.009,0.137,0.081,0.311,4.019,0.0
14.073,0.95,0.098,0.009,0.147,0.087,0.34,3.939,0.0
14.455,0.962,0.099,0.009,0.12,0.082,0.31,3.924,0.0
12.519,0.949,0.13,0.01,0.149,0.085,0.373,3.943,0.0
13.442,0.95,0.154,0.01,0.145,0.082,0.39,3.931,0.0
13.899,0.947,0.118,0.009,0.146,0.083,0.356,3.887,0.0
15.828,0.929,0.09,0.01,0.18,0.083,0.362,3.93,0.0
